metric,group1,group2,test,statistic,p_value,effect_size,effect_label,significant,direction,group1_mean,group2_mean,group1_std,group2_std,group1_n,group2_n
flesch_kincaid_grade,pop,alt,Mann-Whitney U test,20065.0,0.8180394036997688,-0.013358248529077521,Rank-biserial r,False,No significant difference,63.84107073403513,59.63091455067221,56.54998787627884,49.49159366662505,199,199
type_token_ratio,pop,alt,Mann-Whitney U test,10169.0,4.7346590328893367e-17,0.4864271104265043,Rank-biserial r,True,pop > alt,0.36002335304298,0.44843128233015017,0.09257882749512661,0.1232926202968267,199,199
gunning_fog,pop,alt,Mann-Whitney U test,20017.5,0.8503493223898408,-0.010959319209110863,Rank-biserial r,False,No significant difference,67.51188108882222,63.30549593812379,58.054304921442416,50.72068481037113,199,199
coleman_liau,pop,alt,Mann-Whitney U test,17383.5,0.03521296624232064,0.12206762455493547,Rank-biserial r,True,pop > alt,5.9122979288956445,6.19445260823372,1.8116181305938974,1.6922801124707636,199,199
